;FluxValues
R_MALSp;0.0
R_MALT;0.0
R_MALTt2;0.0
R_MALt2r;-0.0
R_MALtm;-0.0
R_MAN1PT;0.024431808050000003
R_MAN6PI;-0.024431808050000003
R_MANNANter;-0.024431808050000003
R_MANt2;0.0
R_MCITDm;-0.0
R_MCITL2m;0.0
R_MCITSm;0.0
R_MCOATA;-0.0
R_MCOATAm;-0.0
R_MDH;-0.11952434883178975
R_MDHm;0.14999719259272823
R_MDHp;-0.0
R_MDRPD;0.0
R_ME1m;0.0
R_ME2m;0.0
R_MELIBt2;0.0
R_MELTGH;-0.0
R_METAT;0.002337293444624425
R_METB1;0.0
R_METS;0.005266995998646943
R_METTRS;0.0028973637670214676
R_METTRSm;3.663885444251146e-05
R_METt2m;-3.233878700105056e-05
R_METt2r;-0.0
