;ID;Mu_max_KO;Mu_max_WT;Relative_Mu
YNL073W_m__+__YPL104W_m;YNL073W_m__+__YPL104W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YNL073W_m__+__YPL078C_m;YNL073W_m__+__YPL078C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YNL073W_m__+__YJR121W_m;YNL073W_m__+__YJR121W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YNL073W_m__+__YDR298C_m;YNL073W_m__+__YDR298C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YNL073W_m__+__YDL004W_m;YNL073W_m__+__YDL004W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YNL073W_m__+__YDR377W_m;YNL073W_m__+__YDR377W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YNL073W_m__+__YKL016C_m;YNL073W_m__+__YKL016C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YNL073W_m__+__YPL271W_m;YNL073W_m__+__YPL271W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YNL073W_m__+__YCL004W_m;YNL073W_m__+__YCL004W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YNL073W_m__+__YML042W_m;YNL073W_m__+__YML042W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YNL073W_m__+__YNR001C_m;YNL073W_m__+__YNR001C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YNL073W_m__+__YPR001W_m;YNL073W_m__+__YPR001W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YNL073W_m__+__YBR029C_m;YNL073W_m__+__YBR029C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YNL073W_m__+__YDR035W_m;YNL073W_m__+__YDR035W_m;0,057770573567076156;0,11636502057081088;0,4964599609375
YNL073W_m__+__YOR236W_m;YNL073W_m__+__YOR236W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YNL073W_m__+__YDL178W_m;YNL073W_m__+__YDL178W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YNL073W_m__+__YBL013W_m;YNL073W_m__+__YBL013W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YNL073W_m__+__YJR051W_m;YNL073W_m__+__YJR051W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YNL073W_m__+__YBR084W_m;YNL073W_m__+__YBR084W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YNL073W_m__+__YPL262W_m;YNL073W_m__+__YPL262W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YNL073W_m__+__YAL044C_m;YNL073W_m__+__YAL044C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YNL073W_m__+__YDR019C_m;YNL073W_m__+__YDR019C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YNL073W_m__+__YMR189W_m;YNL073W_m__+__YMR189W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YNL073W_m__+__YBR263W_m;YNL073W_m__+__YBR263W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YNL073W_m__+__YPR184W_m;YNL073W_m__+__YPR184W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YNL073W_m__+__YOL033W_m;YNL073W_m__+__YOL033W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YNL073W_m__+__YOR040W_m;YNL073W_m__+__YOR040W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YNL073W_m__+__YPL091W_m;YNL073W_m__+__YPL091W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
