;Enzyme_ID;Flux_FBA;Flux;Concentration;Kapp;Comment;Pseudo complex members;Taken from
R_CYOOm_duplicate_3;R_CYOOm_duplicate_3_enzyme;0.3980825832878247;1.0;4.766940715277989e-06;83509.02750100808;estimated;R_CYOOm_duplicate_3_enzyme;
R_CYOOm_duplicate_4;R_CYOOm_duplicate_4_enzyme;;1.0;;0.0;isoenzyme;;R_CYOOm
R_CYOR_u6m;R_CYOR_u6m_enzyme;;1.0;;0.0;isoenzyme;;R_CYOR_u6m
R_CYOR_u6m_duplicate_2;R_CYOR_u6m_duplicate_2_enzyme;0.73912203565824;1.0;4.772051035762864e-06;154885.61000691043;estimated;R_CYOR_u6m_duplicate_2_enzyme;
R_CYSTGL;R_CYSTGL_enzyme;0.013563807822295507;1.0;4.154268809844133e-06;3265.0289240200655;estimated;R_CYSTGL_enzyme;
R_CYSTRS;R_CYSTRS_enzyme;0.009802069262561847;1.0;1.0270635092562946e-06;9543.781055622947;estimated;R_CYSTRS_enzyme;
R_CYSTRSm;R_CYSTRSm_enzyme;0.009802069262561847;1.0;1.0270635092562946e-06;9543.781055622947;estimated;R_CYSTRSm_enzyme;
R_CYSTS;R_CYSTS_enzyme;0.013563807822295507;1.0;6.742093542159837e-06;2011.8094976698183;estimated;R_CYSTS_enzyme;
R_DB4PS;R_DB4PS_enzyme;7.051007609089652e-05;1.0;2.2303059021269568e-06;31.614531452234324;estimated;R_DB4PS_enzyme;
R_DDPA;R_DDPA_enzyme;0.07594924530322297;1.0;4.303488945839198e-06;17648.295664069043;estimated;R_DDPA_enzyme , R_DDPA_duplicate_2_enzyme;
R_DDPA_duplicate_2;R_DDPA_duplicate_2_enzyme;0.07594924530322297;1.0;4.303488945839198e-06;17648.295664069043;estimated;R_DDPA_enzyme , R_DDPA_duplicate_2_enzyme;
R_DDPAm;R_DDPAm_enzyme;;;;17648.295664069043;twinenzyme;;R_DDPA_duplicate_2_enzyme
R_DHAD1m;R_DHAD1m_enzyme;0.1988590733972906;1.0;8.627008114450701e-06;23050.757662345415;estimated;R_DHAD1m_enzyme;
R_DHAD2m;R_DHAD2m_enzyme;0.1988590733972906;1.0;8.627008114450701e-06;23050.757662345415;estimated;R_DHAD2m_enzyme;
R_DHORD4i;R_DHORD4i_enzyme;;;;96921.55948619942;twinenzyme;;R_DHORDi_enzyme
R_DHORDfum;R_DHORDfum_enzyme;;;;96921.55948619942;twinenzyme;;R_DHORDi_enzyme
R_DHORDi;R_DHORDi_enzyme;0.04580529307612184;1.0;4.726016927394159e-07;96921.55948619942;estimated;R_DHORDi_enzyme;
R_DHORTS;R_DHORTS_enzyme;;-1.0;;0.0;isoenzyme;;R_DHORTS
R_DHORTS_duplicate_2;R_DHORTS_duplicate_2_enzyme;0.04580529307612184;-1.0;4.412557263220844e-06;10380.668248299928;estimated;R_DHORTS_duplicate_2_enzyme;
R_DHQS;R_DHQS_enzyme;0.3797462265161149;1.0;5.305779994819342e-06;71572.17730228277;estimated;R_DHQS_enzyme;
R_DHQTi;R_DHQTi_enzyme;0.3797462265161149;1.0;5.305779994819342e-06;71572.17730228277;estimated;R_DHQTi_enzyme;
R_DMATT;R_DMATT_enzyme;0.013443676436467137;1.0;2.517109716703595e-05;534.09179374481;estimated;R_DMATT_enzyme;
R_DOLPMMer;R_DOLPMMer_enzyme;;1.0;;0.0;isoenzyme;;R_DOLPMMer
R_DOLPMMer_duplicate_2;R_DOLPMMer_duplicate_2_enzyme;;1.0;;0.0;isoenzyme;;R_DOLPMMer
R_DOLPMMer_duplicate_3;R_DOLPMMer_duplicate_3_enzyme;0.16311682018632;1.0;1.8294493865090643e-07;891617.0154211142;estimated;R_DOLPMMer_duplicate_3_enzyme , R_DOLPMMer_duplicate_4_enzyme;
R_DOLPMMer_duplicate_4;R_DOLPMMer_duplicate_4_enzyme;0.16311682018632;1.0;1.8294493865090643e-07;891617.0154211142;estimated;R_DOLPMMer_duplicate_3_enzyme , R_DOLPMMer_duplicate_4_enzyme;
R_DOLPMMer_duplicate_5;R_DOLPMMer_duplicate_5_enzyme;;1.0;;0.0;isoenzyme;;R_DOLPMMer
R_DOLPMTcer;R_DOLPMTcer_enzyme;0.16311682018632;1.0;1.9388563335753214e-06;84130.4316166256;estimated;R_DOLPMTcer_enzyme;
R_DPGM;R_DPGM_enzyme;;;;931836.6198133939;twinenzyme;;R_PGM_duplicate_2_enzyme
R_DPMVD;R_DPMVD_enzyme;0.020165514654700706;1.0;2.3995094716220714e-06;8404.015442818316;estimated;R_DPMVD_enzyme;
R_DPRm;R_DPRm_enzyme;;;;2660.4953277231934;twinenzyme;;R_KARA1im_enzyme , R_KARA2im_enzyme
R_D_LACDcm;R_D_LACDcm_enzyme;0.09894656073718044;1.0;1.3459431194253178e-05;7351.466738016984;estimated;R_D_LACDcm_enzyme , R_D_LACDcm_duplicate_2_enzyme;
R_D_LACDcm_duplicate_2;R_D_LACDcm_duplicate_2_enzyme;0.09894656073718044;1.0;1.3459431194253178e-05;7351.466738016984;estimated;R_D_LACDcm_enzyme , R_D_LACDcm_duplicate_2_enzyme;
R_D_LACDcm_duplicate_3;R_D_LACDcm_duplicate_3_enzyme;;1.0;;0.0;isoenzyme;;R_D_LACDcm
R_D_LACDcm_duplicate_4;R_D_LACDcm_duplicate_4_enzyme;;1.0;;0.0;isoenzyme;;R_D_LACDcm
R_D_LACt2;R_D_LACt2_enzyme;0.1921;-1.0;7.085554028763668e-09;27111500.275091235;estimated;R_D_LACt2_enzyme;
